,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
3331,100439,13,16,4,1243.1,197.5,-46.691300000000005,-23.6764,-46.67630000000001,-23.6764
3332,100440,11,16,4,2035.2,214.3,-46.67630000000001,-23.6764,-46.691300000000005,-23.6764
3333,100517,11,17,4,6520.0,633.3,-46.691300000000005,-23.646399999999996,-46.691300000000005,-23.616400000000002
3334,100543,13,16,4,3880.3,444.4,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.6314
3335,100546,12,16,4,3487.0,438.7,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3336,100672,14,16,2,2719.0,283.8,-46.67630000000001,-23.616400000000002,-46.691300000000005,-23.616400000000002
3337,100760,15,16,4,8440.6,770.1,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.616400000000002
3338,100761,12,16,4,8181.1,841.6,-46.691300000000005,-23.616400000000002,-46.691300000000005,-23.661399999999997
3339,100790,15,16,2,310.2,38.7,-46.61630000000001,-23.496400000000005,-46.61630000000001,-23.496400000000005
3340,100791,23,16,4,1113.2,121.3,-46.61630000000001,-23.496400000000005,-46.61630000000001,-23.496400000000005
3341,100800,23,21,4,2638.2,400.7,-46.706300000000006,-23.646399999999996,-46.706300000000006,-23.6314
3342,100803,13,21,4,4794.9,535.0,-46.706300000000006,-23.6314,-46.691300000000005,-23.661399999999997
3343,100812,14,15,4,1459.1,166.1,-46.706300000000006,-23.571399999999997,-46.691300000000005,-23.5564
3344,100831,18,16,4,4547.1,624.3,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3345,100832,14,16,4,7602.6,669.4,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.616400000000002
3346,100835,12,16,4,8630.4,971.6,-46.691300000000005,-23.616400000000002,-46.691300000000005,-23.661399999999997
3347,100837,15,16,4,4547.1,624.3,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3348,100857,14,16,4,6200.9,753.8,-46.691300000000005,-23.6314,-46.67630000000001,-23.661399999999997
3349,100866,14,16,4,6919.2,722.3,-46.67630000000001,-23.661399999999997,-46.706300000000006,-23.6314
3350,100998,12,17,4,2528.2,240.1,-46.67630000000001,-23.691400000000005,-46.67630000000001,-23.6764
3351,101000,10,15,4,2528.2,240.1,-46.67630000000001,-23.691400000000005,-46.67630000000001,-23.6764
3352,101105,10,17,4,7757.0,715.3,-46.706300000000006,-23.646399999999996,-46.67630000000001,-23.691400000000005
3353,101106,13,17,4,3067.2,296.9,-46.67630000000001,-23.691400000000005,-46.67630000000001,-23.6764
3354,101183,10,17,2,5721.5,480.4,-46.691300000000005,-23.6764,-46.706300000000006,-23.6764
3355,101191,11,17,2,4712.2,424.6,-46.691300000000005,-23.6764,-46.706300000000006,-23.661399999999997
3356,101234,11,15,2,6008.3,532.5,-46.691300000000005,-23.6764,-46.706300000000006,-23.6764
3357,101241,11,15,4,2082.7,210.0,-46.67630000000001,-23.6764,-46.67630000000001,-23.6764
3358,101247,11,15,4,1304.4,217.8,-46.691300000000005,-23.6764,-46.67630000000001,-23.6764
3359,101249,11,17,4,1304.4,217.8,-46.691300000000005,-23.6764,-46.67630000000001,-23.6764
3360,101257,11,17,4,1304.4,217.8,-46.691300000000005,-23.6764,-46.67630000000001,-23.6764
3361,101318,11,17,2,4117.4,313.1,-46.67630000000001,-23.691400000000005,-46.706300000000006,-23.6764
3362,101319,10,17,4,3545.1,277.0,-46.706300000000006,-23.6764,-46.67630000000001,-23.691400000000005
3363,101324,11,15,2,4117.4,313.1,-46.67630000000001,-23.691400000000005,-46.706300000000006,-23.6764
3364,101330,10,17,2,3323.8,410.7,-46.67630000000001,-23.691400000000005,-46.706300000000006,-23.6764
3365,101331,10,15,4,3763.5,420.5,-46.706300000000006,-23.6764,-46.67630000000001,-23.691400000000005
3366,101332,11,15,2,2971.6,297.3,-46.67630000000001,-23.691400000000005,-46.691300000000005,-23.6764
3367,101333,10,17,4,3379.1,305.2,-46.691300000000005,-23.6764,-46.67630000000001,-23.691400000000005
3368,101334,11,16,2,2971.6,297.3,-46.67630000000001,-23.691400000000005,-46.691300000000005,-23.6764
3369,101335,10,17,4,3379.1,305.2,-46.691300000000005,-23.6764,-46.67630000000001,-23.691400000000005
3370,101345,11,16,4,1874.8,197.0,-46.67630000000001,-23.691400000000005,-46.67630000000001,-23.6764
3371,101353,10,17,4,6554.4,665.0,-46.706300000000006,-23.646399999999996,-46.67630000000001,-23.691400000000005
3372,101365,13,17,4,1943.5,183.6,-46.706300000000006,-23.646399999999996,-46.706300000000006,-23.661399999999997
3373,101514,13,17,4,789.0,101.5,-46.661300000000004,-23.691400000000005,-46.67630000000001,-23.691400000000005
3374,101517,10,15,4,789.0,101.5,-46.661300000000004,-23.691400000000005,-46.67630000000001,-23.691400000000005
3375,101521,10,17,4,789.0,101.5,-46.661300000000004,-23.691400000000005,-46.67630000000001,-23.691400000000005
3376,101986,10,17,4,7235.0,664.1,-46.7213,-23.6614,-46.706300000000006,-23.6314
3377,102078,12,17,4,594.5,142.7,-46.7213,-23.6614,-46.7213,-23.6614
3378,102079,12,15,4,608.5,146.0,-46.7213,-23.6614,-46.7213,-23.6614
3379,102081,12,14,4,3838.0,341.0,-46.706300000000006,-23.6764,-46.7213,-23.6614
3380,102130,11,14,4,5113.4,482.2,-46.706300000000006,-23.6764,-46.7213,-23.6464
3381,102154,11,14,4,591.0,77.9,-46.7213,-23.6614,-46.7213,-23.6614
3382,102155,12,14,4,927.5,215.9,-46.7213,-23.6614,-46.7213,-23.6614
3383,102189,12,14,2,1112.0,64.7,-46.7213,-23.6614,-46.706300000000006,-23.661399999999997
3384,102203,12,14,2,5002.8,398.6,-46.691300000000005,-23.6764,-46.7213,-23.6764
3385,102231,11,15,4,7867.0,703.3,-46.7213,-23.6764,-46.7363,-23.6314
3386,102272,11,14,4,543.0,95.4,-46.7213,-23.6764,-46.7213,-23.6764
3387,102276,11,13,4,6956.2,605.2,-46.691300000000005,-23.6314,-46.7213,-23.6764
3388,102277,14,14,4,543.0,95.4,-46.7213,-23.6764,-46.7213,-23.6764
3389,102287,11,14,4,4411.9,393.2,-46.706300000000006,-23.646399999999996,-46.7213,-23.6764
3390,102301,13,14,4,1597.9,244.6,-46.706300000000006,-23.691400000000005,-46.706300000000006,-23.6764
3391,102320,10,14,4,5711.6,270.9,-46.706300000000006,-23.6764,-46.706300000000006,-23.721400000000003
3392,102321,11,15,4,4972.7,422.4,-46.706300000000006,-23.721400000000003,-46.706300000000006,-23.6764
3393,102322,8,15,4,5711.6,270.9,-46.706300000000006,-23.6764,-46.706300000000006,-23.721400000000003
3394,102323,11,15,4,4972.7,422.4,-46.706300000000006,-23.721400000000003,-46.706300000000006,-23.6764
3395,102338,8,15,4,4170.8,461.9,-46.706300000000006,-23.6314,-46.706300000000006,-23.661399999999997
3396,102339,14,15,4,5420.3,415.5,-46.706300000000006,-23.661399999999997,-46.706300000000006,-23.691400000000005
3397,102369,12,15,4,1651.0,208.0,-46.706300000000006,-23.706400000000006,-46.706300000000006,-23.691400000000005
3398,102370,9,15,4,1944.4,238.9,-46.706300000000006,-23.691400000000005,-46.706300000000006,-23.706400000000006
3399,102417,10,15,4,6980.3,651.3,-46.691300000000005,-23.646399999999996,-46.706300000000006,-23.691400000000005
3400,102419,13,15,4,6980.3,651.3,-46.691300000000005,-23.646399999999996,-46.706300000000006,-23.691400000000005
3401,102424,13,15,4,1600.4,169.5,-46.706300000000006,-23.691400000000005,-46.706300000000006,-23.6764
3402,102426,10,15,4,1600.4,169.5,-46.706300000000006,-23.691400000000005,-46.706300000000006,-23.6764
3403,102428,10,15,4,1600.4,169.5,-46.706300000000006,-23.691400000000005,-46.706300000000006,-23.6764
3404,102466,10,15,2,701.8,94.2,-46.7213,-23.6914,-46.706300000000006,-23.691400000000005
3405,102468,10,15,4,390.2,86.3,-46.706300000000006,-23.691400000000005,-46.706300000000006,-23.691400000000005
3406,102472,10,15,2,995.9,172.6,-46.706300000000006,-23.691400000000005,-46.7213,-23.6914
